firm_id,index_date,index_year,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,n_phase2_pre,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,event_1m,days_to_event_1m
firm_05634,2012-01-01,2012,1,150000.0,150000.0,0,1,1,1,0,0,0,1,0,0,0,DE,0,5253
firm_05635,2021-06-15,2021,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,MN,0,1800
firm_05636,2018-04-09,2018,1,149951.0,149951.0,0,1,1,1,0,0,0,0,1,0,0,NY,0,2963
firm_05637,2021-09-01,2021,1,255973.0,255973.0,0,1,1,1,0,0,0,1,0,0,0,MN,0,1722
firm_05638,2021-08-01,2021,1,300000.0,300000.0,0,1,1,1,0,0,1,0,0,0,0,MA,0,1753
firm_05639,2021-03-10,2021,1,49413.0,49413.0,0,1,1,1,0,1,0,0,0,0,0,AL,0,1897
firm_05640,2015-01-01,2015,1,150000.0,150000.0,0,1,1,1,0,0,0,1,0,0,0,CA,0,4157
firm_05641,2017-06-09,2017,1,124060.0,124060.0,0,1,1,1,0,0,0,0,0,1,0,CA,1,1573
firm_05642,2021-03-31,2021,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,0,VA,0,1876
firm_05643,2018-06-18,2018,1,224000.0,224000.0,0,1,1,1,0,0,1,0,0,0,0,NY,0,2893
firm_05644,2013-04-25,2013,1,79996.0,79996.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,4773
firm_05645,2021-04-14,2021,1,99985.0,99985.0,0,1,1,1,0,0,0,0,0,0,1,CA,0,1862
firm_05646,2015-09-30,2015,6,3233453.0,2015284.0,4108,4,3,3,3,1,1,0,0,0,0,CA,0,3885
firm_05647,2010-10-05,2011,6,2933374.0,1249620.0,981,3,3,4,2,1,0,0,0,0,0,MD,0,5706
firm_05648,2020-01-24,2020,1,224418.0,224418.0,0,1,1,1,0,1,0,0,0,0,0,WA,0,2308
firm_05649,2020-03-09,2020,1,50000.0,50000.0,0,1,1,1,0,1,0,0,0,0,0,CA,0,2263
firm_05650,2021-07-08,2021,1,139995.0,139995.0,0,1,1,1,0,1,0,0,0,0,0,MO,0,1777
firm_05651,2019-06-17,2019,1,149997.0,149997.0,0,1,1,1,0,1,0,0,0,0,0,NY,0,2529
firm_05652,2009-12-22,2010,85,36566778.0,1736450.0,2367,6,7,51,34,1,0,0,0,0,0,CA,0,5993
firm_05653,2019-02-01,2019,1,225000.0,225000.0,0,1,1,1,0,0,0,1,0,0,0,NC,1,830
firm_05654,2011-02-18,2011,6,1599999.0,600000.0,2222,1,5,4,2,0,0,0,0,1,0,IL,0,5570
firm_05655,2021-08-17,2021,1,239936.0,239936.0,0,1,1,1,0,1,0,0,0,0,0,CT,1,546
firm_05656,2021-05-15,2021,1,124991.0,124991.0,0,1,1,1,0,0,0,0,0,1,0,TX,0,1831
firm_05657,2010-01-20,2010,15,8342915.0,2749890.0,2099,3,7,10,5,1,0,0,0,0,0,MD,0,5964
